RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2025-06-30,2025-08-31,2026-05-31
394522,749,"DeRidder, LA",msa,LA,2025-05-31,-0.6,-2.0,-9.5
395192,750,"Vincennes, IN",msa,IN,2025-05-31,-0.1,-0.3,0.4
394370,751,"Bay City, TX",msa,TX,2025-05-31,0.1,-0.5,-3.3
394920,752,"North Platte, NE",msa,NE,2025-05-31,-0.1,-0.7,-1.6
394973,753,"Peru, IN",msa,IN,2025-05-31,0.5,0.4,0.5
394992,754,"Pontiac, IL",msa,IL,2025-05-31,0.4,0.4,0.2
394781,755,"Lebanon, MO",msa,MO,2025-05-31,-0.1,-0.3,0.2
394915,756,"Newport, TN",msa,TN,2025-05-31,0.0,0.0,-0.7
394525,757,"Decatur, IN",msa,IN,2025-05-31,0.2,0.2,1.2
395191,758,"Vidalia, GA",msa,GA,2025-05-31,0.1,0.0,0.0
394413,759,"Brenham, TX",msa,TX,2025-05-31,-0.2,-0.8,-2.2
395187,760,"Vernal, UT",msa,UT,2025-05-31,0.2,0.1,1.1
394947,762,"Ottumwa, IA",msa,IA,2025-05-31,-0.2,-0.7,-0.8
394430,764,"Butte, MT",msa,MT,2025-05-31,-0.4,-1.0,1.8
394499,765,"Corinth, MS",msa,MS,2025-05-31,0.2,-0.2,-2.0
394417,766,"Brookhaven, MS",msa,MS,2025-05-31,-0.8,-2.4,-6.4
394569,767,"Emporia, KS",msa,KS,2025-05-31,-0.9,-1.4,-1.5
394713,768,"Jackson, WY",msa,WY,2025-05-31,0.2,-0.2,2.6
394385,770,"Big Spring, TX",msa,TX,2025-05-31,-0.4,-2.2,-10.5
394557,771,"Effingham, IL",msa,IL,2025-05-31,0.4,-0.2,-1.5
394536,772,"Dodge City, KS",msa,KS,2025-05-31,-0.4,-0.4,2.4
395211,773,"Watertown, SD",msa,SD,2025-05-31,-0.1,-0.9,-1.6
394331,774,"Angola, IN",msa,IN,2025-05-31,-0.1,-0.3,0.4
394535,775,"Dixon, IL",msa,IL,2025-05-31,0.0,-0.8,-1.4
394777,776,"Laurinburg, NC",msa,NC,2025-05-31,-0.6,-0.6,1.7
